Category: All categories

Region,imo: (8/16/19 - 8/16/20)
District of Columbia,100
Missouri,100
New Jersey,68
Louisiana,67
Maryland,67
Georgia,61
New York,60
Texas,59
Connecticut,59
Florida,58
California,57
Virginia,55
Delaware,54
Hawaii,54
Illinois,54
Minnesota,52
Rhode Island,51
Washington,51
Kansas,50
West Virginia,48
Alabama,48
Mississippi,47
Massachusetts,47
Michigan,47
North Carolina,46
Maine,46
South Carolina,45
Nevada,45
Pennsylvania,44
Nebraska,43
Indiana,42
New Hampshire,42
Tennessee,42
Oregon,41
Ohio,41
Wisconsin,41
Arkansas,40
Alaska,40
Utah,40
Iowa,40
Vermont,39
Arizona,38
Colorado,38
Oklahoma,38
North Dakota,37
New Mexico,33
Idaho,31
Kentucky,31
Wyoming,29
South Dakota,27
Montana,26
